business_id,breakfast,lunch,dinner
5Zc41a446gV3K_o7CDs69Q,False,True,True
rOdbLPm_u_7jWM_GDxquEg,False,False,True
_7EsArRtaywrPasvA8ryfg,False,False,True
El4FC8jcawUVgw_0EIcbaQ,False,True,True
ry-FLqYclt7okJbdYcmOhw,False,True,True
ECOkEVUodMLUxvI0PMI4gQ,False,False,True
oJZNHz5UUVUgrZwVBVlpYw,False,True,True
zCaczzZnQUiduNNFvLa0Gg,False,False,True
M--CB6Fhp4XKxsR2PlcP9w,False,True,True
GbYBL-LB8Dra49t8XCnVWw,False,False,True
bYw7mT1e3frkxG0nd2_mjg,False,False,True
xg6X-QhO5kTv9PtFqJp-OA,False,False,True
6V_7ldr9tjmet0BdAnC34A,False,True,True
x5m_Cux8UoFlVtqxzUa99Q,False,True,True
F7E3qP0oz_SuVGZGL0D8Zw,False,False,True
W--NYYk_TqGtq_miUE1Eyw,False,False,True
gGqppHYDpINGjRb8ru-dsA,False,False,True
xrt83taykZS48LB21yOB9w,False,False,True
j3NoIidtyVJ9iUfyG9X3Qw,False,False,True
gS0CcaNcmiU18nLqqELhUQ,False,True,True
ZRZlPFSn782DbSSXPb-i3w,False,True,True
9NwXHbKyJOhX9nxjRi0AcQ,False,False,True
nYifLyIcS9V1Yj2wm2OVsw,False,False,True
cIP1xI6j2wykUyHG0FOEsg,False,False,True
TZM4eiv3CtR9CBPtknXgDw,False,False,True
rj1k50ClMKuKdnLtQUDIag,False,True,True
T8Z5LpR4gJXexRk-33P4LQ,False,False,True
4khsN1eXcWR0YYmROlLEzw,False,False,True
YF4QJ_j-PM7cMZja6K1MwQ,True,True,False
w8RWhhuKxMiFCpvFvIQ3zg,False,True,True
BHB2tRGZM9RqPxWTLgtPjw,False,False,True
mbP_JseHO2JvFdD6sS8j0Q,False,False,True
kYtk8YSBtSuwXcvfoRMyoA,False,False,True
dy_9OOE9ZhFZo9NTNCffIg,False,False,True
6CnoUxE66XuY5gI-hBysbw,False,False,True
bTv4SViSYM5aux1HUN1LEA,False,False,True
44uqXcYp8QMEK0eicwZJhg,False,False,True
MZjw8RBI7dBC6G7jkQFEmA,False,False,True
fdC-5VI6ifj6CR2LjKWRtQ,False,False,True
_-VLl6JjZ7av3MwzjpHilQ,False,False,True
afMwlotE4c2nBLilhaOxhw,False,False,True
V4E09shHwjNdiclExeiYLg,False,False,True
fk9-GzfKDCESiP9Zp8XfzA,False,False,True
QRAmGlMF7_sLq8YZ_L1POQ,False,True,True
-hzQQ8tbXThpp0k5E_y1Dw,False,True,True
QeO9D8joKKWSRcxmjwWZKA,False,False,True
wRHGn5Hc6Oizlappi3SmMQ,False,False,True
X8c23dur0ll2D9XTu-I8Qg,False,False,True
ihwYbxAuOntsaKScPxbXOg,False,True,True
yniif9v-2PpVIbsotxv6OA,False,False,True
vl5_S8mfd3qHgC7gYEOVJA,False,False,True
EaYGALPvXkv1_Kk5ZLpTgg,False,False,True
RIHydChuDTrfuuvr8TzH4g,False,False,True
Km7BcCSXb78oymx-Ek2P9w,False,False,True
azciebW9VvZoPDz7rdo3TA,False,False,True
u2wqrS4WenKSsuFsrLBGAA,False,False,True
iBPyahdJRP5y0t25fF2W9w,False,False,True
YPTR9EI2w75WeuCnS_JJXw,False,True,True
KPsu_1Q9XYRKWs_ZBTtlTg,False,False,True
r6b0IpBN8d-I4oe3RBL95A,False,False,True
OWkS1FXNJbozn-qPg3LWxg,False,False,True
jfUarAupxK2BwoYj8hjQVw,False,False,True
YC1FXuG7IQneHnhbHT0XcQ,False,False,True
le0ZcsG2uCarJIUqj2GcLg,False,False,True
jjJ06LdxITpFaz_EQaEvWQ,False,False,True
W-2-3Vtha0P7qT92eN1GUw,False,False,True
5A9XLq-oNiua4fVrsRCaXg,False,False,True
MCenmA0zc9gNR1Cwyh4f1A,False,False,True
JXdzS5ez3semEliQyhLnqw,False,False,True
MmW1-h6o79XhhO_qutIZ_Q,False,False,True
mvyVz0gm3gdPVGg3M-o75g,False,False,True
